ID,Group,Channel_1_DAPI.Intensity Mean Value,Channel_2_Op520.Intensity Mean Value,Channel_3_Op570.Intensity Mean Value,Channel_4_Op690.Intensity Mean Value,Channel_1_DAPI.Intensity Standard Deviation,Channel_2_Op520.Intensity Standard Deviation,Channel_3_Op570.Intensity Standard Deviation,Channel_4_Op690.Intensity Standard Deviation
235,TDP,1086.374378,1517.071354,574.2298976,968.6409565,654.1957483,742.9938868,130.1154293,585.8713285
235,TDP,1103.002481,1846.120285,593.6343714,767.9222829,696.022789,836.8274734,140.3820358,447.0636462
235,TDP,668.8549399,1168.859158,572.1011379,1195.913185,436.4783827,408.2286485,145.0136629,750.6587851
235,TDP,1005.990992,1641.71672,837.930748,1654.72427,844.2670144,554.3044794,235.3799217,859.2943836
235,TDP,867.5005285,1587.539991,766.0624366,1468.401604,707.2785054,515.6696402,209.9434584,812.1266975
235,TDP,1104.419233,1615.643963,756.1997459,1118.089279,711.619435,541.1584538,193.626767,558.0360547
235,TDP,1503.104151,1077.677664,553.7557358,1327.215619,806.1660524,274.1934713,97.82088246,713.8113994
235,TDP,1243.237379,1046.443544,549.4480886,1150.549865,781.0079158,311.9266572,117.811279,693.8404737
235,TDP,925.8578529,1099.787436,575.0482095,965.9776633,567.6094815,357.1778261,130.0946712,545.692671
235,TDP,1021.800568,859.4160143,486.5993924,1659.931442,708.8131889,220.2260468,65.42622025,886.6113782
235,TDP,977.6596506,824.3605792,502.8717659,1401.912469,689.9786678,207.6609929,93.33220406,799.8507671
235,TDP,1138.738838,828.1477346,511.2838801,929.0780121,747.7056582,166.196438,72.61383133,451.6935525
314,TDP,1578.529109,1485.882295,546.1310639,1319.519132,797.8694878,546.6834698,145.6881814,637.0222262
314,TDP,1160.668337,1581.691707,442.9994966,693.2855022,713.3658409,786.2477522,89.17643988,394.1162957
314,TDP,984.2336333,1324.240087,495.3064035,1057.970763,681.3566745,429.1248083,98.16416239,511.5220743
314,TDP,1350.654946,1315.071114,554.8590129,1094.725717,1000.840696,380.8110847,113.9616385,620.8480847
314,TDP,1232.126384,1254.604748,475.2170446,936.5262531,867.4886638,388.9859203,80.7553643,548.129972
314,TDP,1330.590632,1607.562439,490.6425509,730.1598152,894.1000226,641.5459787,90.80067957,380.0951762
314,TDP,2219.027402,1703.255272,616.9177093,1005.929234,2040.158932,591.4801609,147.9483974,562.7691352
314,TDP,2312.785975,1962.213267,700.6908591,1344.289871,1926.499413,714.3404126,181.9813128,684.5450454
314,TDP,1776.177797,1710.338581,656.2883362,1069.868169,1682.137675,674.7003425,158.2487243,585.3360362
314,TDP,1094.759263,1637.334141,601.0774824,1242.720423,909.8703652,661.2896516,156.5882192,733.7021639
314,TDP,1155.940338,2262.356289,383.7506456,782.2081895,923.0594281,980.1620608,89.23719166,434.1876012
314,TDP,1021.441044,1779.203991,624.1597316,1116.12291,893.4863304,716.6546041,147.5963826,615.6352989
