group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,OFT_trial_2,137,27,-0.391438425,0.111704283,-0.538499257,-0.272003984,2.709296291,0.40782908,2.173530005,3.093898604,233.0708778,38.51595079,176.4373068,262.5373408,0.002518892,0.08
control,OFT_trial_3,141,0,-0.311864826,1.728509396,-3.140385979,3.140679993,0.065349924,16.92208078,-313.8708562,313.7579513,73.88172565,56.47524441,0.71827127,466.3455989,0.184331797,1.1155
control,OFT_trial_3,141,1,0.129253517,1.55808954,-3.128201427,3.134623689,0.008620064,8.617890577,-313.1403301,312.8165428,52.60292408,57.8110986,1.054677251,444.5216051,0.101382488,1.203181818
control,OFT_trial_3,141,2,-0.222946972,1.587769122,-3.140968455,3.140109124,-0.033023262,9.911651421,-313.2527033,313.3883945,87.96708461,80.98424404,0.880479819,525.5270338,0.103686636,1.785333333
control,OFT_trial_3,141,3,-0.610066764,2.163780809,-3.140031589,3.141522403,0.328802399,15.20447881,-314.07525,314.0635121,35.4976485,22.97740944,0.62172029,293.246318,0.085253456,0.921621622
control,OFT_trial_3,141,4,-0.13212053,1.924831398,-3.137101471,3.139930484,0.402608363,24.46623278,-6.455859008,313.8799596,156.7681601,104.1570339,3.984063665,537.4184443,0.085253456,1.064864865
control,OFT_trial_3,141,5,-0.520084238,1.315909314,-2.846303129,2.954849378,0.792821582,1.283711136,-2.436492247,4.311586804,146.0104872,101.5395346,4.648431462,561.7937216,0.041474654,0.98
control,OFT_trial_3,141,6,0.030903507,1.879778328,-3.130323234,3.139686932,-0.221104595,24.22904866,-312.5636727,7.069191887,98.11103408,70.63766877,0.921349302,399.8084067,0.039170507,1.765882353
control,OFT_trial_3,141,7,0.482420756,1.688478612,-3.123015482,3.133776096,-0.157184025,19.32092865,-4.647796568,312.1295697,82.74414603,52.02329955,0.898746078,286.5887155,0.036866359,0.98375
control,OFT_trial_3,141,8,0.503113485,1.88143996,-3.13792096,3.093958726,-0.14498804,14.56521156,-4.8412298,312.946282,201.5489156,95.89411644,2.760765663,431.9739316,0.02764977,0.78
control,OFT_trial_3,141,9,0.747106446,1.801274413,-3.13614435,3.139486245,0.01733497,16.12665165,-313.855189,311.455631,131.9947125,104.601494,0.41000754,483.6499043,0.02764977,2.52
control,OFT_trial_3,141,10,0.014546265,1.835044358,-3.140031162,3.139015921,-0.144462957,20.9492249,-312.543741,312.0822099,175.7219184,112.6172448,1.329039198,510.2365269,0.055299539,2.03
control,OFT_trial_3,141,11,0.538677165,2.130675079,-3.139302736,3.136358937,-0.610096114,26.05843376,-313.6147404,313.3901999,116.7513076,88.31822208,0.720760873,421.2229964,0.029953917,2.436923077
control,OFT_trial_3,141,12,1.236472549,1.643771545,-2.438126953,2.879787901,0.678481915,1.287558654,-2.696009184,4.085765365,134.2677593,103.0815284,4.26756203,476.1897413,0.023041475,1.64
