syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
4,100.5806,424.6172,1.3082,-1.2589,0.4911,-0.5815,-0.3937,-0.5132
4,102.2064,421.6684,1.2368,-0.892,0.0516,-0.5426,-0.2154,-0.6856
4,103.6577,417.5445,1.1082,-0.7371,-0.5572,-0.4354,0.0006,-0.7419
4,105.4533,414.2589,0.9725,-0.3473,-0.8624,0.5037,-0.0683,-0.7676
4,106.7311,410.199,0.9148,0.1999,-1.1463,1.1062,-0.354,-0.5919
4,107.7,405.5612,0.7331,0.284,-1.3859,1.1969,-0.2725,-0.4715
4,108.6863,401.1758,0.6023,0.4891,-1.302,1.3746,-0.4152,-0.3588
4,109.1143,396.4022,0.4482,0.6632,-1.4239,1.6912,-0.3531,-0.353
4,110.5468,392.4932,0.3738,0.935,-1.4828,1.5477,-0.2279,-0.3571
4,111.1264,388.5061,0.2097,0.98,-1.5763,1.2813,-0.0903,-0.0694
4,111.6929,384.7027,0.1463,0.9599,-1.6432,1.2129,-0.1165,-0.1084
4,111.3721,380.9131,0.0501,1.0074,-1.9269,1.3769,0.0986,0.1069
4,114.3189,377.4914,-0.054,0.9407,-1.7741,1.4726,-0.0317,0.2916
4,119.0677,373.9011,-0.1139,0.7634,-1.4376,1.2958,-0.0908,0.2733
4,122.2248,370.8981,-0.1435,0.4341,-1.4159,1.297,0.213,0.3698
4,126.5706,367.8784,-0.2067,0.0313,-1.1642,1.198,-0.0148,0.5594
4,132.9692,366.1295,-0.276,-0.4363,-0.86,0.996,0.1836,0.6356
4,139.0762,363.6051,-0.2525,-0.6111,-0.7514,0.5799,0.542,0.7064
4,143.2594,361.1149,-0.3385,-0.8702,-0.6523,0.3139,0.4548,0.6265
4,149.0434,357.3489,-0.3835,-1.1044,-0.3715,0.2046,0.2543,0.4699
4,155.2582,354.6043,-0.3794,-1.1382,-0.1102,-0.0286,0.443,0.2652
4,162.2537,350.9832,-0.4126,-1.2018,-0.264,-0.085,0.8212,-0.1427
4,170.2596,347.2427,-0.4452,-1.1997,-0.2487,-0.0552,0.918,0.1144
4,179.8,343.114,-0.4165,-1.3624,-0.3372,-0.0895,0.8521,-0.0295
4,189.7272,339.539,-0.3843,-1.3127,-0.2131,-0.2145,0.3883,-0.2266
10,197.8113,335.0969,-0.3017,-1.248,-0.1684,-0.1327,0.5489,0.2614
10,207.4183,332.6364,-0.3486,-1.2308,0.2943,-0.3519,0.5879,-0.4372
10,218.0892,328.885,-0.3386,-1.2456,0.135,-0.2824,0.8561,-0.2447
10,228.603,324.9094,-0.3685,-1.1764,-0.0663,-0.2456,0.8852,-0.4462
10,238.116,321.0752,-0.3536,-1.2473,0.2093,-0.4191,0.7096,-0.3933
10,248.4862,318.1818,-0.3271,-1.2587,0.1068,-0.5022,0.8442,-0.1153
10,258.3921,313.5398,-0.2865,-1.1861,-0.0372,-0.4027,0.8862,-0.6198
10,268.1009,311.2864,-0.2767,-1.1085,0.2075,-0.5232,0.7461,-0.389
10,277.5936,309.502,-0.2447,-1.029,0.3451,-0.5395,0.6922,-0.4781
