group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,3CT_trial_11,98,6,-0.314011704,1.338741739,-3.098882685,3.122450558,1.415375786,14.05197159,-310.3935426,7.297120172,144.4847668,102.0487852,3.174468453,559.0063197,0.034722222,0.669333333
control,3CT_trial_11,98,7,-0.152014046,1.739467259,-3.130453108,3.134024538,-0.484005483,18.26064196,-313.649483,313.7278728,104.2072204,88.20388643,3.349882042,607.1850664,0.043981481,1.555789474
control,3CT_trial_11,98,8,-0.233777521,1.616252687,-2.798762401,2.774660354,-0.098311218,1.047086977,-3.909945842,2.758450216,241.2533501,117.0452584,11.90753736,586.8459732,0.037037037,0.565
control,3CT_trial_11,98,9,0.718978589,1.177209231,-3.101466164,2.746814969,-1.621010027,1.958035006,-8.896654571,2.203221652,191.5997791,111.6288425,1.601314364,532.993416,0.020833333,0.697777778
control,3CT_trial_11,98,10,0.743043127,1.685215501,-3.136664227,3.140955778,-0.036353012,30.39254097,-312.3851763,313.5737131,155.3782997,127.4582888,7.055733459,596.7917836,0.025462963,0.769090909
control,3CT_trial_11,98,11,1.042958304,1.393156729,-3.134892813,3.137009257,0.170435423,13.87932747,-313.0988923,312.2120377,108.5527268,107.1840629,2.617356933,618.3534411,0.034722222,1.36
control,3CT_trial_11,98,12,0.738777403,1.582066688,-3.13662926,3.137806361,0.047888651,21.50820613,-313.9757045,314.0613368,90.07065484,69.86448282,2.469270158,452.044473,0.041666667,0.946666667
control,3CT_trial_11,98,13,0.526416368,1.541250746,-2.041038414,2.680038094,-0.093510515,2.114242202,-3.60769142,5.652578644,382.0998865,139.0897581,6.265177063,601.8979826,0.025462963,0.1
control,3CT_trial_11,98,14,-0.176065629,1.673374272,-2.054443473,2.258247745,0.175429287,0.718133924,-1.943674258,1.310845257,433.8502958,120.2160132,231.9401537,683.1321792,0.025462963,0.096363636
control,3CT_trial_11,98,15,-0.448161872,1.969995184,-3.111985653,3.140955815,-0.698113621,20.54536366,-312.2584004,3.583786663,122.7400594,99.26900964,0.904884576,482.1158576,0.023148148,0.928
control,3CT_trial_11,98,16,0.370151246,1.53814984,-3.132970811,3.057683023,0.002506151,29.96905067,-290.0670981,302.4541469,57.90963696,32.47245205,0,170.1229066,0.037037037,0.24875
control,3CT_trial_11,98,17,-0.875308008,0.897709489,-2.081697479,0.368691314,-0.00629523,1.433666624,-3.074040242,2.760837895,120.8255603,65.02732658,5.536246466,305.6817587,0.030092593,0.201538462
control,3CT_trial_11,98,18,0.223551012,1.341186282,-3.139091985,3.126263554,1.373847904,20.71055799,-3.196139924,313.1236389,144.1909484,100.0776446,1.196586642,413.5237724,0.025462963,0.418181818
control,3CT_trial_11,98,19,-0.813844072,1.490306061,-2.759593238,2.139850854,0.091318539,2.001214784,-4.272380973,6.336408198,105.069668,82.27913915,4.325922971,469.9860103,0.018518519,0.58
control,3CT_trial_11,98,20,-0.509990571,1.368804813,-3.116749364,3.079707658,0.728596776,18.01521091,-5.717553154,311.7067092,154.1001611,81.841076,14.89452851,442.0851117,0.025462963,0.554545455
